strategy,breakout_score,topic_confidence_score,article_title,article_url,source_domain,domain_trust_score,matched_topics,strategy_assignment_reasoning,topic_match_reasoning,article_snippet,source_topic,timestamp,community,tags,thought_process_determining_topic,classification_reason,topic_llm_time,topic_input_tokens,topic_output_tokens,classification_llm_time,classification_input_tokens,classification_output_tokens
Reactor,0.6,0.9,"Retirement Planning: News, Features, Analysis",https://www.kiplinger.com/retirement/retirement-planning,kiplinger.com,1,['Retirement planning'],Perfect match for retirement planning as a news hub but generic nature and broad related queries indicate steady rather than explosive interest.,Perfect match for retirement planning as a news hub but generic nature and broad related queries indicate steady rather than explosive interest.,"News, insights and expert analysis on retirement planning from the team at Kiplinger.",Retirement planning,2025-07-30T14:14:53,B2C,"Retirement, Financial Planning, Investment, Savings, Expert Analysis","The article focuses on providing news, insights, and expert analysis specifically related to retirement planning, as indicated by the title and snippet.","The content focuses on retirement planning, which is primarily useful for individual consumers seeking personal finance advice and strategies for their retirement savings and investments.",2.035594940185547,180,73,1.658156156539917,233,48
Sniper,0.8,0.9,The 10 worst U.S. states to retire—6 are in the South,https://www.cnbc.com/2025/07/26/worst-us-states-to-retire-bankrate.html,cnbc.com,1,['Best states retire'],Excellent match for best states to retire topic with high breakout potential given the specific 2025-focused queries and strong search volume for state retirement rankings.,Excellent match for best states to retire topic with high breakout potential given the specific 2025-focused queries and strong search volume for state retirement rankings.,"Factors like affordability and weather may make these states unattractive to retirees, but they could be right for you based on your...",Best states retire,2025-07-30T14:15:12,B2C,"retirement, U.S. states, affordability, weather, South","The article discusses the least favorable U.S. states for retirement, focusing on factors such as affordability and weather, particularly highlighting states in the South.","The content is primarily focused on individual consumers, particularly retirees, making personal decisions about where to retire based on factors like affordability and weather.",2.5570337772369385,197,82,1.4299871921539307,254,48
Sniper,0.8,0.9,The best states to retire for taxes,https://www.fidelity.com/learning-center/personal-finance/best-states-to-retire-for-taxes,fidelity.com,1,['Best states retire'],Strong match for best states retire with tax angle and high breakout score from trending queries like 'best states to retire in 2025' indicating immediate relevance.,Strong match for best states retire with tax angle and high breakout score from trending queries like 'best states to retire in 2025' indicating immediate relevance.,"What are the best states to retire for taxes on retirement withdrawals? Nine states have no income tax. These are Alaska, Florida, Nevada, New...",Best states retire,2025-07-30T14:15:12,B2C,"retirement, taxes, income tax, states, financial planning","The article focuses on identifying states with favorable tax conditions for retirees, specifically those with no income tax, which is crucial for financial planning in retirement.","The content is primarily useful for individual consumers, particularly retirees, who are making personal financial decisions about where to retire based on tax benefits.",2.2580599784851074,193,80,1.7309200763702393,249,48
Reactor,0.6,0.8,Want To Retire at 65? See if You Can Answer These Five ...,https://www.kiplinger.com/retirement/happy-retirement/want-to-retire-at-65-see-if-you-can-answer-these-five-questions,kiplinger.com,1,['Retirement income'],Good match for retirement income topic with practical focus but related queries show steady rather than explosive search interest.,Good match for retirement income topic with practical focus but related queries show steady rather than explosive search interest.,"If your retirement income comes from a traditional 401(k) or IRA, pension, annuity, short-term capital gains, bond income, or non-qualified dividends, it will ...",Retirement income,2025-07-30T14:15:31,B2C,"retirement, financial planning, 401(k), IRA, income sources","The article discusses evaluating retirement readiness at age 65 with a focus on income sources like 401(k), IRA, and other investments, indicating a theme of retirement planning and financial preparedness.","The content is primarily focused on individual retirement planning, which is most valuable for individual consumers looking to manage their personal finances and retirement strategies.",2.349012851715088,207,85,2.040174961090088,262,48
Reactor,0.7,1.0,Estate and inheritance tax,https://www.bogleheads.org/wiki/Estate_and_inheritance_tax,bogleheads.org,1,['Inheritance'],Direct match on inheritance tax content with moderate search interest including trending queries like 'inheritance 2025'.,Direct match on inheritance tax content with moderate search interest including trending queries like 'inheritance 2025'.,"An inheritance tax is assessed on inherited assets and payable by the heirs. There is no federal inheritance tax, only a federal estate tax. At the state level, ...",Inheritance,2025-07-30T14:15:48,HYBRID,"inheritance tax, estate tax, taxation, heirs, federal tax","The article discusses the differences and specifics of inheritance and estate taxes, focusing on their application at federal and state levels, which is evident from the mention of heirs, federal estate tax, and state-level implications.","The content is relevant to both individual consumers who may inherit assets and need to understand tax implications, and to professionals such as financial advisors and estate planners who assist clients with estate planning and tax strategies.",3.075792074203491,193,94,2.1431407928466797,251,58
Sniper,0.8,1.0,A Matter Of Time: Estate Planning And Watch Collecting,https://www.forbes.com/sites/matthewerskine/2025/07/24/a-matter-of-time-estate-planning-and-watch-collecting/,forbes.com,1,['Estate planning'],Perfect match on estate planning topic with high-value professional service queries indicating strong commercial intent.,Perfect match on estate planning topic with high-value professional service queries indicating strong commercial intent.,"Watches continue to hold significant financial and sentimental value, and may be one of the best performing investments in the years to...",Estate planning,2025-07-30T14:16:12,HYBRID,"Estate Planning, Watch Collecting, Investment, Financial Value, Sentimental Value",The title and snippet suggest a focus on the intersection of estate planning and the financial and sentimental aspects of watch collecting as an investment.,"The article discusses estate planning and watch collecting, which is relevant to both individual consumers interested in personal finance and investment, as well as professionals in estate planning and investment advising.",2.072499990463257,191,79,1.8136420249938965,252,53
Reactor,0.6,1.0,The Retirement Metric That Matters More Than Your 401(k) ...,https://www.investopedia.com/most-important-retirement-number-11776104,investopedia.com,1,['401k'],Clear 401k content match with solid but not exceptional search momentum in related retirement planning queries.,Clear 401k content match with solid but not exceptional search momentum in related retirement planning queries.,Withdrawals made from a 401(k) or traditional IRA are taxed as income at your tax bracket at the time of the withdrawal. The Replacement Ratio You Actually Need.,401k,2025-07-30T14:16:29,B2C,"retirement planning, 401(k), IRA, income replacement, taxation","The article discusses the taxation of withdrawals from retirement accounts and emphasizes the importance of understanding the replacement ratio needed for retirement, indicating a focus on retirement planning and income strategies.","The content focuses on personal finance decisions related to retirement planning and income replacement, which are primarily relevant to individual consumers and retirees rather than businesses.",2.4180562496185303,202,85,5.378070116043091,260,49
Reactor,0.7,1.0,What to Consider Before Rolling Your 401(k) into a Roth IRA,https://www.kiplinger.com/retirement/roth-iras/what-to-consider-before-rolling-your-401k-into-a-roth-ira,kiplinger.com,1,['IRA'],Strong IRA topic match with good search interest across Roth and traditional IRA conversion queries.,Strong IRA topic match with good search interest across Roth and traditional IRA conversion queries.,"Converting at least some of an old 401(k) to a Roth IRA can offer long-term tax benefits and flexibility, especially if you anticipate a higher tax bracket.",IRA,2025-07-30T14:16:52,B2C,"401(k), Roth IRA, retirement planning, tax benefits, financial strategy","The article discusses the considerations and benefits of converting a 401(k) into a Roth IRA, focusing on tax implications and financial planning for retirement.","The content focuses on individual retirement planning and personal financial decisions, which are primarily relevant to individual consumers rather than businesses.",2.397718906402588,204,84,1.8725659847259521,267,44
Sniper,0.8,1.0,Roth IRA vs. brokerage account: What's the difference?,https://www.fidelity.com/learning-center/smart-money/roth-ira-vs-brokerage-account,fidelity.com,1,['Roth IRA'],Perfect Roth IRA match with high search volume and specific actionable queries like contribution limits and comparisons.,Perfect Roth IRA match with high search volume and specific actionable queries like contribution limits and comparisons.,Roth IRAs and brokerage accounts could be great ways to help hit different financial goals. Here's how.,Roth IRA,2025-07-30T14:17:07,B2C,"Roth IRA, brokerage account, investment, financial planning, retirement savings","The article compares Roth IRAs and brokerage accounts, focusing on their roles in achieving financial goals, which indicates a theme of investment account comparison and financial planning.","The content is focused on personal financial planning and retirement savings, which are primarily of interest to individual consumers.",2.6891720294952393,186,82,1.413187026977539,242,42
Sniper,0.8,1.0,Retirement Tax Bombs: Roth Conversions May Cut the ...,https://www.kiplinger.com/retirement/roth-iras/retirement-tax-bombs-how-roth-conversions-may-cut-the-blue-wire,kiplinger.com,1,['Roth IRA'],Perfect Roth conversion content match with high-value tax strategy focus and strong related search interest.,Perfect Roth conversion content match with high-value tax strategy focus and strong related search interest.,"By converting tax-deferred accounts to a Roth IRA, you enjoy tax-free growth, avoid taxes on withdrawals, avoid RMDs, and may be able to prevent your heirs from ...",Roth IRA,2025-07-30T14:17:07,B2C,"Roth IRA, Tax Strategy, Retirement Planning, Tax-Free Growth, Heirs","The article discusses the benefits of converting tax-deferred accounts to a Roth IRA, focusing on tax advantages and implications for retirement planning and heirs.","The content focuses on individual retirement planning and tax strategies, which are primarily relevant to individual consumers and retirees.",2.6565310955047607,204,85,1.2695770263671875,266,42
