Page,Engine,Extracted_Text,Correct_Text,Accuracy_Score,Comments,Issues_Found,Confidence_Score

# INSTRUCTIONS:
# 1. Review the Extracted_Text column
# 2. Enter the correct text in Correct_Text column
# 3. Rate accuracy from 1-10 in Accuracy_Score column
# 4. Add comments about errors in Comments column
# 5. List specific issues in Issues_Found column

1,tesseract,"న? వాలని. | యని 1 శ వై ల లకీ లలి కహ | | నరము, *, నం ప 1 గ శః పటి జై | (ళా షె వ్తటోటో ఆ వి జ అ ర షీ లి  . అను న. ణ్కి | గ్రహ ఖ్‌ న క. ॥ క్‌ మ క క. ” | ను గ అల. టం న్‌ | స. . వ ల 7 గా | లో "" న్‌ శ గ | అలి వపా సవిచతి యు వా వ. భి వీ జ కు లి ంవ త్రై క క ర శ | యళ... శ * ఖ్‌ ఫ్ర అ క న క. నా ర | న. వే ర త. | ను. నే (ఈం శీ ॥ కొ లి ॥ నకు సస | న |. లి జ _ మ... జ స , అ [క ర జ్‌. | టం న. శ ౪% శ శ క యర అటి పటి క తలో ౮ [. య వలో జగ 9 శ. | | న ల్‌ ం భవ ళు పం సలి శ్లో కే వు వు ల 4 తటి ఈ. అ న ॥ గా | యనా టి లో ళీ న. క. న సయ... తి 20 అతి... [TRUNCATED]",[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.338
1,easyocr,"సంవత్సరము సాగుబడివిపరములు సుండన ససాయ గణారకములు విపరములు సిాగుకాని భా ఫరయుట 1 ధికొరి ండల: అధికాంి' వినియోగము శ్లీశ్గి మరదలు రెఖెవరాఆలిధొర్లు క్జీ గ్లి గ్గ సిర్ీ శ్డి శ్తీ ఇన్స్ెెక్టరు తనిఖీ తేది చేనోవ్కులమరియు ఫ్డీ 1 ార్కులు శ్శి ""18 120 22 23 126 27 ణ28 30 _'7 _ 33  ti 222 10 Scanned with OKEN Scanner ము, స్ణీ స్గ",[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.502
2,tesseract,గత ఛటద ప ం రమప సం ల లుం కీ ళ న. ఖు మ త | అలల పన లా టా చ టినా యం ల తత్‌ ల“ అ జార.” నలం చంటి యాలు మ స ట్‌ బట నె ఇ న ఎంటా లాంటి సం పళ సాం గం లట ఇ న లంచ సి న్నీ 1 లి తా కేం ర అ టల. థి బ్‌ ష్టం జ్‌ )ళ శ ౧ సం మి స. గ క స ప న పాం కాంట శా తీ క ము నటల బాటా? ఎ జళ్తి జంట [| సేం ల తొ ఎం పె ఏ నబి ఆవ? ఓ ఈం 2 శే ్థశి | ఫరా స సంహ నా న | 2 అ స. (| శ థి స 99 లరలి పే క్ష స క న సరన మదటలానాడాలడున్నుత నన 2! పే పం టన వన నన టం జైల ర యట టట స న! మన పంపండి వులు రట! యాన కట స 1 నర నయ కహ ఈ . రల టల శ సజల ప | టే నను న మ దయ. ॥ వ ౦౮... [TRUNCATED],[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.339
2,easyocr,99 గ్రామ లెక్కనెం: అదరంగల్: పహాణి' పాలము వారి అనుభవము నటిలీమెంట్ బందోఐస్తు ఫ్ధి డ్ణీ u గ్శి ఖాతాద్ారు అనుభపదారు పేరు: గ్ి క్డీ ఫ్ర్ి సగ క్ణీర్ణీ శ్ణీ t్డి పట్టాదారుః :పేరు: %్గ స్తి 2ీ 12 1 : CCEA nF' ములక్కు 8S సందా శి2్డ 'రతులత్త: Scanned with OKEN Scanner ఠ రర్మశడ్:,[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.399
3,tesseract,"లందరు నరు టళయటార న టా. టం | లం మ రయ లే రం ప్ర చ ఇృచతోళు ల ఆశలని | పు ల? స దహ య పనన ౨ వ మ స క స ర క / లం పత్ని క్యారట్‌ రం లే క న్ననా స్య్రత్పన లట పనా ల టా ల సక బహ. | యే న్‌ నే "" ర క్‌ న క | న . ఈ ర మా లో న న మ. క నట ప ర క జూ హా న జ గ. జన ల జ. శీ | న ల! లు వి క్‌ న న ర న న రట లల రప న లాయాంటక. లత య క ర య | కమ వ. | ౭ ఫా ళ్‌ పళ నే | [| ఓ -? [స క హం వా లన ప య యా స కన యర ర య నం మం యనిన ౧) ॥ టల గ (్‌ (. న. న్‌ | యం నలు. గో న. అవి కీ న. ననా ॥ ॥ జైల ర ర పధం త మాట కకత నేర ప ర త వయం ల సంసా ల వ చి యం 'సతటటంంయాాల నం వచు... [TRUNCATED]",[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.333
3,easyocr,వాలి అసుభవము: ఊార్తారారు ర్డ 10 చును C Scanned with OKEN Scanner,[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.493
4,tesseract,జీ. ఇజం పీచు కలం టా ల | య భ్‌ సవ గ లు చట లన చ టంత టా అ. న మం! వం | గా సవాలకతా జకం గానక యు ముక లు ల లండు వంత జై పాన ల | ణు కశ య బారా. 4 శై. తారలను క ర యతో స్‌ ప హం యం శ్‌ శ [ న్‌ | హల టా యి య కాగా నల నక ఫా లం అరం చి న నంతా ఫలు శ్‌ ॥ | వ్‌ న్‌ కాచారం మిన య న న యయ కాస్‌ నం... లన నన స క / |. ఎట్టి అ | రచ ల్‌ చిన నం ల సార. కక నలు ర నం! ్‌ న యా న య చల యాన. శ్రా షి . + 29 గి - | య =. జ. ప. శి. ఆం ఫట మి అంనై ఆ కంక ం కీట భీ ధ్‌ సప తన న చల. 8 క ఇ టే ల్‌ రం కంచ వం పాట! న ని చ ఆశ్‌ వలన త సరు త క ము మవకీవా (నలో ట్య నిేల. ... [TRUNCATED],[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.337
