strategy,breakout_score,topic_confidence_score,article_title,article_url,source_domain,domain_trust_score,matched_topics,strategy_assignment_reasoning,topic_match_reasoning,article_snippet,source_topic,timestamp,community,tags,thought_process_determining_topic,classification_reason
Reactor,0.6,0.9,"Retirement Planning: News, Features, Analysis",https://www.kiplinger.com/retirement/retirement-planning,kiplinger.com,1,['Retirement planning'],Perfect match for retirement planning as a news hub but generic nature and broad related queries indicate steady rather than explosive interest.,Perfect match for retirement planning as a news hub but generic nature and broad related queries indicate steady rather than explosive interest.,"News, insights and expert analysis on retirement planning from the team at Kiplinger.",Retirement planning,2025-07-30T14:14:53,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,0.9,The 10 worst U.S. states to retire—6 are in the South,https://www.cnbc.com/2025/07/26/worst-us-states-to-retire-bankrate.html,cnbc.com,1,['Best states retire'],Excellent match for best states to retire topic with high breakout potential given the specific 2025-focused queries and strong search volume for state retirement rankings.,Excellent match for best states to retire topic with high breakout potential given the specific 2025-focused queries and strong search volume for state retirement rankings.,"Factors like affordability and weather may make these states unattractive to retirees, but they could be right for you based on your...",Best states retire,2025-07-30T14:15:12,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,0.9,The best states to retire for taxes,https://www.fidelity.com/learning-center/personal-finance/best-states-to-retire-for-taxes,fidelity.com,1,['Best states retire'],Strong match for best states retire with tax angle and high breakout score from trending queries like 'best states to retire in 2025' indicating immediate relevance.,Strong match for best states retire with tax angle and high breakout score from trending queries like 'best states to retire in 2025' indicating immediate relevance.,"What are the best states to retire for taxes on retirement withdrawals? Nine states have no income tax. These are Alaska, Florida, Nevada, New...",Best states retire,2025-07-30T14:15:12,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.6,0.8,Want To Retire at 65? See if You Can Answer These Five ...,https://www.kiplinger.com/retirement/happy-retirement/want-to-retire-at-65-see-if-you-can-answer-these-five-questions,kiplinger.com,1,['Retirement income'],Good match for retirement income topic with practical focus but related queries show steady rather than explosive search interest.,Good match for retirement income topic with practical focus but related queries show steady rather than explosive search interest.,"If your retirement income comes from a traditional 401(k) or IRA, pension, annuity, short-term capital gains, bond income, or non-qualified dividends, it will ...",Retirement income,2025-07-30T14:15:31,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.7,0.9,Retirement,https://smartasset.com/retirement/articles,smartasset.com,1,['Retirement income'],Strong match for retirement income with Social Security focus and moderate breakout potential from queries like 'social security retirement'.,Strong match for retirement income with Social Security focus and moderate breakout potential from queries like 'social security retirement'.,"July 29, 2025 Knowing what the average Social Security check is at age 64 can help you decide when to retire and create a plan for your income in retirement.",Retirement income,2025-07-30T14:15:31,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.5,0.9,Georgia Inheritance Laws: What You Should Know,https://smartasset.com/estate-planning/georgia-inheritance-laws,smartasset.com,1,['Inheritance'],Perfect match for inheritance topic with Georgia-specific laws but related queries suggest steady interest without major breakout indicators.,Perfect match for inheritance topic with Georgia-specific laws but related queries suggest steady interest without major breakout indicators.,"In this detailed guide of Georgia inheritance laws, we break down intestate succession, probate, taxes, what makes a will valid and more.",Inheritance,2025-07-30T14:15:48,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.7,1.0,Estate and inheritance tax,https://www.bogleheads.org/wiki/Estate_and_inheritance_tax,bogleheads.org,1,['Inheritance'],Direct match on inheritance tax content with moderate search interest including trending queries like 'inheritance 2025'.,Direct match on inheritance tax content with moderate search interest including trending queries like 'inheritance 2025'.,"An inheritance tax is assessed on inherited assets and payable by the heirs. There is no federal inheritance tax, only a federal estate tax. At the state level, ...",Inheritance,2025-07-30T14:15:48,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,1.0,A Matter Of Time: Estate Planning And Watch Collecting,https://www.forbes.com/sites/matthewerskine/2025/07/24/a-matter-of-time-estate-planning-and-watch-collecting/,forbes.com,1,['Estate planning'],Perfect match on estate planning topic with high-value professional service queries indicating strong commercial intent.,Perfect match on estate planning topic with high-value professional service queries indicating strong commercial intent.,"Watches continue to hold significant financial and sentimental value, and may be one of the best performing investments in the years to...",Estate planning,2025-07-30T14:16:12,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.6,1.0,The Retirement Metric That Matters More Than Your 401(k) ...,https://www.investopedia.com/most-important-retirement-number-11776104,investopedia.com,1,['401k'],Clear 401k content match with solid but not exceptional search momentum in related retirement planning queries.,Clear 401k content match with solid but not exceptional search momentum in related retirement planning queries.,Withdrawals made from a 401(k) or traditional IRA are taxed as income at your tax bracket at the time of the withdrawal. The Replacement Ratio You Actually Need.,401k,2025-07-30T14:16:29,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.7,1.0,What to Consider Before Rolling Your 401(k) into a Roth IRA,https://www.kiplinger.com/retirement/roth-iras/what-to-consider-before-rolling-your-401k-into-a-roth-ira,kiplinger.com,1,['IRA'],Strong IRA topic match with good search interest across Roth and traditional IRA conversion queries.,Strong IRA topic match with good search interest across Roth and traditional IRA conversion queries.,"Converting at least some of an old 401(k) to a Roth IRA can offer long-term tax benefits and flexibility, especially if you anticipate a higher tax bracket.",IRA,2025-07-30T14:16:52,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
